the_geom,Length,SegmentID,Width,Rating_B,RatingWord,Shape_len,Merged3.FID,Merged3.Street,Theft_rate,Subway,Rest,Graf,Theft_predicted
"LINESTRING (-74.14768614084524 40.61455525147598, -74.14858344264606 40.61475446532281)",231,8699,46.17,9,GOOD,259.4802497,6193,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.1464068708856 40.614274173847136, -74.1464600610415 40.61389257925725)",140,8700,30,6,FAIR,139.8070098,6194,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.1464068708856 40.614274173847136, -74.14768614084524 40.61455525147598)",351,8701,46.17,9,GOOD,369.6403658,6195,LITTLE WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.14549168667617 40.61412711680043, -74.1457858411894 40.61193090602598)",801,8702,33.5,7,GOOD,804.2941004,6196,LITTLE WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.14549168667617 40.61412711680043, -74.1464068708856 40.614274173847136)",263,8703,43.75,9,GOOD,259.6767221,6197,EAST 49 STREET,0,0,0,0,0.05
"LINESTRING (-74.14856986484477 40.61836389060642, -74.14982727113053 40.61849400886239)",246,8704,30,7,GOOD,352.2853957,6198,EAST 48 STREET,0,0,0,0,0.05
"LINESTRING (-74.14856986484477 40.61836389060642, -74.14846698700188 40.6190749257209)",279,8705,35.33,7,GOOD,260.6184951,6199,HUDSON STREET,1,0,3,0,0.215
"LINESTRING (-74.14784667927671 40.617110451039075, -74.14767635948968 40.61827446363765)",398,8710,33.08,6,FAIR,426.7083313,6200,HUDSON STREET,0,0,0,0,0.05
"LINESTRING (-74.14767635948968 40.61827446363765, -74.14856986484477 40.61836389060642)",282,8711,30,8,GOOD,250.1859309,6201,AVENUE C,0,0,0,0,0.05
"LINESTRING (-74.14767635948968 40.61827446363765, -74.14748100104094 40.61952085183746)",421,8712,34.33,6,FAIR,457.3193632,6202,CENTRAL ROAD,0,0,0,0,0.05
"LINESTRING (-74.14722249143284 40.61826955620763, -74.14767635948968 40.61827446363765)",90,8713,30,8,GOOD,126.015872,6203,FRANKFORT STREET,0,0,0,0,0.05
"LINESTRING (-74.14709735489733 40.6170592612041, -74.14784667927671 40.617110451039075)",260,8715,36.92,8,GOOD,208.8659857,6204,SHERIFF STREET,0,0,0,0,0.05
"LINESTRING (-74.14655436374139 40.619113062319464, -74.14658584210264 40.618684834010345)",352,8716,33.08,5,FAIR,156.2593997,6205,BIALYSTOKER PLACE,0,0,0,0,0.05
"LINESTRING (-74.1460346728885 40.61701395459109, -74.1464068708856 40.614274173847136)",1024,8718,30.67,7,FAIR,1003.508346,6206,EAST 46 STREET,0,0,0,0,0.05
"LINESTRING (-74.1460346728885 40.61701395459109, -74.14709735489733 40.6170592612041)",288,8719,36.92,8,GOOD,295.4894245,6207,EAST 46 STREET,0,0,0,0,0.05
"LINESTRING (-74.14512326871788 40.61696570247685, -74.14549168667617 40.61412711680043)",1073,8720,33.5,7,GOOD,1039.217013,6208,CENTRAL ROAD,0,0,0,0,0.05
"LINESTRING (-74.14512326871788 40.61696570247685, -74.1460346728885 40.61701395459109)",265,8721,42.58,7,FAIR,253.639508,6209,CENTRAL ROAD,0,0,0,0,0.05
"LINESTRING (-74.14858090240641 40.62170429279192, -74.14959081834606 40.62067368478548)",512,8722,30,7,FAIR,468.6000427,6210,WEST 34 STREET,0,0,2,1,1.285
"LINESTRING (-74.14819873276548 40.619931648180604, -74.14890925679198 40.62033695978164)",247,8723,30,7,FAIR,246.4000812,6211,ADAM CLAYTON POWELL JR BOULEVARD,0,0,1,2,2.355
"LINESTRING (-74.14819873276548 40.619931648180604, -74.1477387062506 40.620404345163635)",199,8724,36.25,8,GOOD,214.4014925,6212,RIVERSIDE DRIVE,0,0,0,0,0.05
"LINESTRING (-74.14793168220794 40.621334582673065, -74.14890925679198 40.62033695978164)",482,8725,33.33,7,FAIR,453.6000441,6213,RIVERSIDE DRIVE WEST,0,0,0,0,0.05
"LINESTRING (-74.14793168220794 40.621334582673065, -74.14721755737727 40.62093201447278)",190,8726,31.25,8,GOOD,246.6029197,6214,EAST HOUSTON STREET,0,0,0,0,0.05
"LINESTRING (-74.14679750173755 40.61993070124869, -74.14467937730905 40.619897704164664)",967,8727,30.67,6,FAIR,588.1436899,6215,1 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.1477387062506 40.620404345163635, -74.14679750173755 40.61993070124869)",152,8728,30,6,FAIR,313.1293662,6216,ADAM CLAYTON POWELL JR BOULEVARD,0,0,0,0,0.05
